Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
Georgia,43,+3, ,,1,42,1,11
Venezuela,42,, ,,,42,,1
Burkina Faso,40,+7,1                                ,,4,35,,2
New Zealand,39,+11, ,,,39,,8
Senegal,38,+2, ,,2,36,,2
Dominican Republic,34,,2                                ,,,32,,3
Uzbekistan,33,+10, ,,,33,,1.0
Martinique,32,+9,1                                ,,,31,7,85
Liechtenstein,28,, ,,,28,,734
Réunion,28,, ,,,28,,31
Ukraine,26,,3                                ,,1,22,,0.6
Afghanistan,24,+2, ,,1,23,,0.6
Honduras,24,+12, ,,,24,,2
Bangladesh,20,+2,1                                ,,3,16,1,0.1
Cameroon,20,+7, ,,2,18,,0.8
DRC,18,+4, ,,,18,,0.2
Macao,17,, ,,10,7,,26
Bolivia,17,+2, ,,,17,,1
Cuba,16,+5,1                                ,,,15,,1
Jamaica,16,+1,1                                ,,2,13,,5
Ghana,16,+5, ,,8,8,,0.5
French Guiana,15,, ,,,15,,50
Guam,14,+2, ,,,14,,83
Maldives,13,, ,,,13,,24
Montenegro,13,, ,,,13,,21
Paraguay,13,, ,,,13,1,2
Nigeria,12,, ,,1,11,,0.06
Mauritius,12,+5, ,,,12,,9
Monaco,11,+1, ,,,11,,280
Channel Islands,11,, ,,,11,,63
French Polynesia,11,+5, ,,,11,,39
Rwanda,11,, ,,,11,,0.8
Gibraltar,10,, ,,2,8,,297
Guatemala,9,,1                                ,,,8,,0.5
Ivory Coast,9,, ,,1,8,,0.3
Ethiopia,9,+2, ,,,9,,0.08
Togo,9,+8, ,,,9,,1
Trinidad and Tobago,9,, ,,,9,,6
Puerto Rico,8,+2, ,,,8,,3
Kenya,7,, ,,,7,,0.1
Seychelles,7,+1, ,,,7,,71
Equatorial Guinea,6,, ,,,6,,4
Kyrgyzstan,6,+3, ,,,6,,0.9
Mongolia,6,, ,,,6,,2
Tanzania,6,, ,,,6,,0.1
Guyana,5,,1                                ,,,4,,6
Aruba,5,, ,,1,4,,47
Barbados,5,, ,,,5,,17
Mayotte,4,, ,,,4,,15
Suriname,4,+3, ,,,4,,7
Cayman Islands,3,,1                                ,,,2,,46
Curaçao,3,,1                                ,,,2,,18
Gabon,3,,1                                ,+1,,2,,1
Bahamas,3,, ,,,3,,8
Congo,3,, ,,,3,,0.5
Namibia,3,, ,,,3,,1
St. Barth,3,, ,,,3,,304
Saint Martin,3,, ,,,3,,78
U.S. Virgin Islands,3,, ,,,3,,29
Sudan,2,,1                                ,,,1,,0.05
Benin,2,, ,,,2,,0.2
Bermuda,2,, ,,,2,,32
Bhutan,2,+1, ,,,2,,3
CAR,2,+1, ,,,2,,0.4
Greenland,2,, ,,,2,,35
Haiti,2,+2, ,,,2,,0.2
Liberia,2,, ,,,2,,0.4
Mauritania,2,, ,,,2,,0.4
New Caledonia,2,, ,,,2,,7
Saint Lucia,2,, ,,,2,,11
Zambia,2,, ,,,2,,0.1
Nepal,1,, ,,1,0,,0.03
Angola,1,+1, ,,,1,,0.03
Antigua and Barbuda,1,, ,,,1,,10
Cabo Verde,1,+1, ,,,1,,2
Chad,1,, ,,,1,,0.06
Djibouti,1,, ,,,1,,1
El Salvador,1,, ,,,1,,0.2
Fiji,1,, ,,,1,,1
Gambia,1,, ,,,1,,0.4
Guinea,1,, ,,,1,,0.08
Vatican City,1,, ,,,1,,"1,248"
Isle of Man,1,, ,,,1,,12
Montserrat,1,, ,,,1,,200
Nicaragua,1,, ,,,1,,0.2
Niger,1,, ,,,1,,0.04
Papua New Guinea,1,+1, ,,,1,,0.1
St. Vincent Grenadines,1,, ,,,1,,9
Sint Maarten,1,, ,,,1,,23
Somalia,1,, ,,,1,,0.06
Eswatini,1,, ,,,1,,0.9
